id,species,common_name
NC_028037.1,Poospiza thoracica isolate SC04,
NC_038196.1,Thryssa setirostris,
NC_019624.1,Rastrelliger kanagurta,
NC_029890.1,Galaxias truttaceus,
NC_020327.1,Sinibotia superciliaris haplotype SS1,
NC_023382.1,Trichobatrachus robustus,
NC_028279.1,Paracheirodon innesi voucher LodgeLab Pinnesi_1,
NC_030779.1,Scincella huanrenensis,
NC_009692.1,Enhydra lutris,
NC_064201.1,Plecturocebus brunneus isolate UFRO.M.327 voucher UFRO327,
NC_007398.1,Boa constrictor,
NC_004593.1,Esox lucius,
NC_021130.1,Johnius grypotus,
NC_021771.1,Rhynchopsitta terrisi,
NC_061385.1,Synodontis soloni voucher DRC-2013-1936,
NC_013566.1,Alepocephalus australis,
NC_015233.1,Emberiza chrysophrys,
NC_015532.1,Psilorhynchus sucatio,
NC_015547.1,Raiamas guttatus,
NC_033919.1,Saurogobio immaculatus,
NC_039723.1,Oligoryzomys stramineus voucher MW303,
NC_059916.1,Grallina cyanoleuca,
NC_029451.1,Labeo pangusia voucher CBM:11832,
NC_068602.1,Microphysogobio exilicauda,
NC_028336.1,Turnagra capensis,
NC_012573.1,Tropidophis haetianus,
NC_014350.1,Collichthys lucidus,
NC_063962.1,Trimerodytes annularis,
NC_022492.1,Thyrsitoides marleyi,
NC_053257.1,Talpa aquitania,
NC_010965.1,Cairina moschata,
NC_027521.1,Dipturus trachyderma,
NC_028554.1,Bradypus pygmaeus voucher USNM_579179,
NC_030771.1,Stachyris ruficeps,
NC_052816.1,Aegotheles bennettii,
NC_012398.1,Eretmochelys imbricata,
NC_037249.1,Triphoturus mexicanus voucher CSULA 16-33,
NC_070068.1,Chitala chitala,
NC_030256.1,Cynoglossus joyneri,
NC_024850.1,Percalates novemaculeata,
NC_037888.1,Cricetus cricetus,
NC_065686.1,Platyrrhinus matapalensis voucher QCAZ:18238,
NC_022500.1,Tetragonurus atlanticus,
NC_028315.1,Leopardus pardalis isolate LPA,
NC_033392.1,Chascanopsetta lugubris,
NC_025615.1,Leucosticte arctoa,
NC_028302.1,Panthera leo isolate PLE,
NC_013141.1,Rhynchopelates oxyrhynchus,
NC_021759.1,Schedophilus velaini,
NC_026524.1,Hyla tsinlingensis voucher HTSIN20141129,
NC_028197.1,Serranidae sp. JL-2015,
NC_028431.1,Tridentiger obscurus,
NC_031595.1,Lepidocephalichthys micropogon,
NC_031616.1,Barbus fasciolatus,
NC_037704.1,Triplophysa sp. ZP-2016,
NC_025568.1,Myotis davidii,
NC_031181.1,Geophagus brasiliensis,
NC_009834.1,Phallusia fumigata,
NC_005802.1,Ophisurus macrorhynchos,
NC_025308.1,Myotis brandtii,
NC_034294.1,Thymallus baicalolenensis isolate TBL-B1,
NC_046909.1,Epomophorus minor voucher FMNH-171299,
NC_008448.1,Galaxiella nigrostriata,
NC_025553.1,Ichthyomyzon unicuspis,
NC_031626.1,Mesonoemacheilus triangularis,
NC_042233.1,Numenius tenuirostris isolate lib4-2,
NC_057992.1,Phrynoglossus myanhessei voucher SMF 103841,
NC_065077.1,Mastomys kollmannspergeri voucher ETH0541,
NC_023105.1,Zacco platypus,
NC_002812.1,Arctoscopus japonicus,
NC_066949.1,Rhinichthys falcatus,
NC_067619.1,Acheilognathus imberbis,
NC_022720.1,Rhinogobio ventralis,
NC_041429.1,Hippocampus camelopardalis,
NC_057667.1,Dolloidraco longedorsalis,
NC_063503.1,Rhynchoconger ectenurus,
NC_013574.1,Bathytroctes breviceps,
NC_027498.1,Tor tor voucher TTSU-01,
NC_033928.1,Cyprinella galactura,
NC_062787.1,Barilius barila,
NC_014851.1,Cottus hangiongensis,
NC_060626.1,Calidris alpina,
NC_014698.1,Pseudomys chapmani,
NC_042729.1,Stolephorus insularis,
NC_015840.1,Pygocentrus nattereri,
NC_023353.1,Mugilogobius abei,
NC_009423.1,Amolops tormotus,
NC_011124.1,Ailurus fulgens,
NC_052805.1,Circaetus pectoralis,
NC_061381.1,Atopochilus savorgnani voucher GAB17_365,
NC_006403.1,Hyla chinensis,
NC_022146.1,Oocatochus rufodorsatus,
NC_022423.1,Desmodus rotundus,
NC_023122.1,Pteropus alecto,
NC_023516.1,Potomotyphlus kaupii,
NC_024178.1,Atractosteus tropicus,
NC_056773.1,Myotis petax isolate KW003,
NC_054086.1,Ptychocheilus lucius isolate SNARCC18-003,
NC_034945.1,Megaleporinus obtusidens,
NC_048991.1,Dremomys everetti voucher MTRH141/BOR259,
NC_002647.1,Diplophos taenia,
NC_013628.2,Stemonidium hypomelas,
NC_005796.1,Pterothrissus gissu,
NC_018805.1,Pseudoleistes virescens,
NC_022819.1,Prionace glauca,
NC_035716.1,Kraemeria cunicularia voucher URM<JPN>:P48722,
NC_053110.1,Zonotrichia albicollis,
NC_008547.1,Falco sparverius,
NC_033967.1,Ninox strenua,
NC_037143.1,Exyrias puntang,
NC_041194.1,Halichoeres nigrescens,
NC_003188.1,Beryx splendens,
NC_021369.1,Chikila fulleri,
NC_028298.1,Pomoxis nigromaculatus voucher LodgeLab Pnigromaculatus_1,
NC_029376.1,Lagocephalus inermis,
NC_022495.1,Evoxymetopon poeyi,
NC_008280.1,Cranoglanis bouderius,
NC_008645.1,Cycleptus elongatus,
NC_009856.1,Diagramma picta,
NC_010264.1,Eurypegasus draconis,
NC_026234.1,Gerres oyena,
NC_054298.1,Zoothera aurea,
NC_022856.1,Pethia conchonius,
NC_027072.1,Leiopelma hochstetteri,
NC_033958.1,Acanthocobitis botia voucher CBM:ZF 11533,
NC_035614.1,Peromyscus crinitus,
NC_041668.1,Piranga leucoptera isolate fmnh481795,
NC_051030.1,Lanius ludovicianus,
NC_020137.1,Caecilia volcani,
NC_026308.1,Urosaurus nigricaudus voucher ROM53168,
NC_027192.1,Barbatula barbatula,
NC_028551.1,Tetraodon lineatus,
NC_028556.1,Cabassous centralis voucher AMNH_MO-10752,
NC_039895.1,Glyptothorax lanceatus,
NC_053065.1,Vidua macroura,
NC_065337.1,Solomys ponceleti isolate EBU24432 voucher M.21863,
NC_041111.1,Cardellina canadensis,
NC_011950.1,Acreichthys tomentosus,
NC_056326.1,Trachypithecus phayrei isolate Dhaka,
NC_015346.1,Sphoeroides testudineus,
NC_023967.1,Amphiprion clarkii,
NC_028295.1,Ecsenius bicolor voucher LodgeLab Ebicolor_1,
NC_061914.1,Holochilus sciureus isolate MVZ:Mamm:190356,
NC_015200.1,Pica pica,
NC_036729.1,Sundamys annandalei voucher MZB 28969,
NC_061386.1,Bagrus docmak voucher SUD-2018-958,
NC_068241.1,Anabarilius duoyiheensis,
NC_009685.1,Gulo gulo,
NC_015530.1,Brotogeris cyanoptera,
NC_025923.1,Botaurus stellaris,
NC_031554.1,Anematichthys apogon,
NC_060992.1,Riparia riparia voucher SQSW002,
NC_003096.1,Pantodon buchholzi,
NC_016717.1,Ehirava fluviatilis,
NC_041287.1,Elseya albagula isolate Elalb_183,
NC_024569.1,Prionodon pardicolor isolate TC108,
NC_013615.1,"Leptocephalus sp. 'type II larva' (Smith, 1989)",
NC_002807.1,Eptatretus burgeri,
NC_010497.1,Spilogale putorius,
NC_022191.1,Microphysogobio longidorsalis,
NC_028174.1,Dendrocopos major,
NC_021957.1,Nomascus leucogenys,
NC_031374.1,Eophona migratoria,
NC_034953.1,Centropyge nox voucher 397,
NC_039547.1,Proechimys mincae voucher MCZ:11049,
NC_065081.1,Myomyscus verreauxii voucher VV1999_102,
NC_011211.1,Rhodeus ocellatus,
NC_020358.1,Phoxinus phoxinus,
NC_026896.1,Pelophylax shqipericus isolate GM1013,
NC_044901.1,Amolops granulosus,
NC_001808.1,Ceratotherium simum,
NC_063130.1,Periophthalmus barbarus isolate PMS_021,
NC_020714.1,Hyemoschus aquaticus isolate GLC16,
NC_024580.1,Platax teira,
NC_032291.1,Huigobio chenhsienensis,
NC_034780.1,Bavayia robusta,
NC_039987.1,Ochotona koslowi,
NC_050026.1,Glaucomys volans voucher USNM569823,
NC_053097.1,Dasyornis broadbenti,
NC_069307.1,Mordacia mordax,
NC_024594.1,Tachybaptus ruficollis,
NC_021476.1,Bombina microdeladigitora voucher 1770,
NC_062464.1,Trichiurus lepturus voucher TLYJ041,
NC_028294.1,Poeciliopsis occidentalis voucher LodgeLab Poccidentalis_1,
NC_012377.1,Fundulus grandis,
NC_001131.1,Lampetra fluviatilis,
NC_007693.1,Manouria emys,
NC_026124.1,Rhizomys sinensis,
NC_036320.1,Myotis auriculus,
NC_038173.1,Anomalurus derbianus isolate T1397,
NC_046914.1,Macroglossus sobrinus isolate JPH07,
NC_050015.1,Sciurus variegatoides voucher MSB248241,
NC_064132.1,Brachylagus idahoensis voucher UWBM82570,
NC_018032.1,Hydropotes inermis argyropus,
NC_025665.1,Seriolella porosa,
NC_028573.1,Priodontes maximus voucher ISEM_T-2353,
NC_013139.1,Labracoglossa argentiventris,
NC_034918.1,Acrossocheilus spinifer,
NC_053107.1,Sapayoa aenigma,
NC_064685.1,Ariosoma meeki,
NC_004921.1,Elephantulus sp. VB001,
NC_013620.1,Nemichthys scolopaceus,
NC_024952.1,Lepidoblepharon ophthalmolepis,
NC_036680.1,Mus pahari,
NC_025646.1,Ochetobius elongatus,
NC_025610.1,Haemorhous mexicanus,
NC_026689.1,Symphysodon discus,
NC_012570.1,Chiloscyllium plagiosum,
NC_053806.1,Hybomys univittatus voucher MNHN-ZM-2017-1907,
NC_004387.1,Oryzias latipes,
NC_068240.1,Paralepidocephalus yui,
NC_026194.2,Lagocephalus spadiceus,
NC_056403.1,Ophichthys cuchia isolate F19-020,
NC_015199.1,Bucorvus leadbeateri,
NC_001321.1,Balaenoptera physalus,
NC_024108.1,Grammistes sexlineatus,
NC_025560.1,Gloydius intermedius,
NC_039669.1,Eudorcas thomsonii,
NC_008102.1,Campostoma anomalum,
NC_052762.1,Ctenolabrus rupestris isolate DM365,
NC_057492.1,Muraenesox cinereus,
NC_052711.1,Diopsittaca nobilis,
NC_031608.1,Cirrhinus microlepis,
NC_033973.1,Xenus cinereus,
NC_060870.1,Chodsigoa hypsibia,
NC_003136.1,Chimaera monstrosa,
NC_020427.1,Leiothrix lutea,
NC_028193.1,Gorsachius magnificus voucher JXJAGM0701,
NC_024746.1,Pterois miles,
NC_023351.1,Nectogale elegans,
NC_017606.1,Dendrophysa russelii,
NC_005436.1,Pipistrellus abramus,
NC_034723.1,Lepilemur petteri isolate BEZ7.20,
NC_053812.1,Dasymys incomtus voucher MNHN-ZM-2016-739,
NC_020355.1,Blicca bjoerkna,
NC_021766.1,Lacerta agilis,
NC_022719.1,Phrynocephalus przewalskii,
NC_052753.1,Zeugopterus punctatus isolate DM354,
NC_056274.1,Opisthotropis guangxiensis,
NC_026083.1,Oligodon ningshaanensis,
NC_033920.1,Pachychilon pictum,
NC_020754.1,Nannospalax galili isolate 575,
NC_022944.1,Garra spilota,
NC_028291.1,Meda fulgida voucher LodgeLab Mfulgida_9,
NC_028575.1,Tolypeutes matacus voucher ISEM_T-2348,
NC_031431.1,Pseudogobius taijiangensis,
NC_031439.1,Mikrogeophagus ramirezi voucher MikRam_run4RL4,
NC_043875.1,Uranoscopus cognatus isolate UMTGen1321,
NC_063973.1,Aphareus rutilans,
NC_053071.1,Neodrepanis coruscans,
NC_063883.1,Rasbora lacrimula voucher BIF9086,
NC_011815.1,Manouria impressa,
NC_022502.1,Peprilus triacanthus,
NC_038175.1,Gymnothorax minor isolate 2723,
NC_046920.1,Myonycteris leptodon isolate G0944,
NC_011173.1,Hyporhamphus sajori,
NC_015363.1,Tetraodon mbu,
NC_020643.1,Martes foina voucher YP6135,
NC_022836.1,Scleropages jardinii,
NC_023511.1,Ichthyophis bombayensis,
NC_025275.1,Orthriophis taeniurus,
NC_027234.1,Enchelynassa canina voucher 352,
NC_029222.1,Priacanthus macracanthus,
NC_064192.1,Ateles marginatus isolate INPA667,
NC_066151.1,Trichoglossus forsteni,
NC_045221.1,Lactarius lactarius,
NC_061979.1,Rhinolophus marshalli voucher GX07039,
NC_066931.1,Apodichthys flavidus,
NC_031871.1,Alopecoenas salamonis,
NC_046573.1,Istigobius campbelli,
NC_024612.1,Phrynocephalus putjatai,
NC_016674.1,Potamalosa richmondia,
NC_011192.1,Procypris rabaudi,
NC_037382.1,Oreolalax multipunctatus voucher CIB2013wb091,
NC_071252.1,Pseudopus apodus voucher A018,
NC_011171.1,Tylochromis polylepis,
NC_020604.1,Tachycineta meyeni,
NC_066505.1,Bembras japonica,
NC_061228.1,Charadrius dubius,
NC_051017.1,Edolisoma coerulescens,
NC_004699.1,Phenacogrammus interruptus,
NC_001788.1,Equus asinus,
NC_015352.1,Carinotetraodon salivator,
NC_006338.1,Aneides hardii,
NC_021407.1,Liobagrus nigricauda,
NC_025778.1,Sphyrna zygaena,
NC_018823.1,Tridentiger barbatus,
NC_062878.1,Rhacophorus chenfui,
NC_003196.1,Pagrus major,
NC_004418.1,Polypterus senegalus senegalus,
NC_006926.1,Balaenoptera bonaerensis,
NC_019621.1,Pararasbora moltrechti,
NC_029494.1,Trimeresurus sichuanensis,
NC_040290.1,Oenanthe isabellina,
NC_060735.1,Rhodeus cyanorostris,
NC_003187.1,Hoplostethus japonicus,
NC_035423.1,Himantopus himantopus,
NC_031845.1,Melophus lathami,
NC_032363.1,Butastur liventer,
NC_035153.1,Gonatodes albogularis,
NC_007892.1,Phractolaemus ansorgii,
NC_021376.1,Paraplagusia japonica,
NC_054260.1,Hybognathus amarus isolate SNARRC18-060,
NC_024103.1,Botrylloides leachii,
NC_048976.1,Anguis colchica,
NC_053106.1,Panurus biarmicus,
NC_001573.1,Xenopus laevis,
NC_024043.1,Lepus americanus haplotype ame,
NC_008416.1,Zalophus californianus,
NC_008678.1,Misgurnus nikolskyi,
NC_014867.1,Rattus fuscipes,
NC_031632.1,Psilorhynchus balitora,
NC_048989.1,Columba hodgsonii,
NC_065678.1,Lophostoma brasiliense voucher QCAZ:18085,
NC_002746.1,Isoodon macrourus,
NC_011321.1,Xenobalistes tumidipectoris,
NC_020764.1,Prosopium cylindraceum,
NC_029444.1,Labeo altivelis,
NC_036391.1,Ameiurus natalis voucher NEFC_F16-116,
NC_068235.1,Gobio huanghensis voucher GSSCS-2021-0058,
NC_009335.1,Hynobius arisanensis,
NC_042502.1,Ectopistes migratorius voucher BMNH1149,
NC_052808.1,Zapornia atra,
NC_057968.1,Pomadasys kaakan,
NC_002734.2,Plecoglossus altivelis,
NC_013481.1,Micrurus fulvius,
NC_013557.1,Leptoderma lubricum,
NC_024879.1,Siniperca scherzeri x Siniperca chuatsi,
NC_023788.1,Sagittarius serpentarius,
NC_042930.1,Lutjanus vitta,
NC_028508.1,Sphyrna tiburo,
NC_067824.1,Aspidoscelis sexlineatus isolate KLC153,
NC_020627.1,Damaliscus pygargus,
NC_060761.1,Platycephalus cultellatus voucher MABIK Lot no. 0016931,
NC_020736.1,Philantomba monticola isolate E11-14,
NC_029144.1,Prosthemadera novaeseelandiae,
NC_005055.1,Fejervarya limnocharis,
NC_013601.1,Pythonichthys microphthalmus,
NC_039544.1,Proechimys gardneri isolate JLP16085 voucher INPA:2565,
NC_045032.1,Garra tibetana,
NC_009886.1,Bufo japonicus,
NC_013868.1,Himantolophus groenlandicus,
NC_030525.1,Notoraja tobitukai,
NC_033378.1,Civettictis civetta,
NC_035150.1,Aeluroscalabotes felinus,
NC_037220.1,Mene maculata,
NC_051016.1,Vireo altiloquus,
NC_063880.1,Rasbora johannae voucher BIF9104,
NC_009264.1,Rana plancyi,
NC_003314.1,Dugong dugon,
NC_029715.1,Lepisosteus platyrhincus,
NC_030781.1,Azemiops feae,
NC_031533.1,Labiobarbus spilopleura,
NC_038130.1,Microhyla mixtura,
NC_025277.1,Tamias sibiricus,
NC_003127.1,Neoceratodus forsteri,
NC_060374.1,Aenigmachanna gollum,
NC_022952.1,Thynnichthys polylepis,
NC_025621.1,Serinus dorsostriatus,
NC_039670.1,Neotoma magister,
NC_013089.1,Xiphophorus hellerii,
NC_070009.1,Boiga kraepelini,
NC_020650.1,Hynobius nebulosus voucher CIB-XM3140,
NC_021479.1,Python bivittatus,
NC_023341.1,Necturus beyeri,
NC_028540.1,Cynoglossus gracilis,
NC_047279.1,Geopelia cuneata,
NC_054191.1,Tupaia montana haplotype 1,
NC_057244.1,Liolaemus parthenos voucher CSA 2067,
NC_005797.1,Ambystoma mexicanum,
NC_024179.1,Leiolepis reevesii voucher SY3,
NC_012049.1,Gyrinomimus sp. UW 113191,
NC_012443.1,Chamaeleo monachus,
NC_012771.1,Eulemur macaco macaco,
NC_014102.1,Cuora galbinifrons,
NC_020669.1,Hyaena hyaena isolate Cerza,
NC_029165.1,Protobothrops himalayanus isolate KIZ 012736,
NC_037731.1,Dentex gibbosus,
NC_052813.1,Halcyon senegalensis,
NC_053808.1,Dephomys defua voucher MNHN-ZM-2011-343,
NC_063886.1,Rasbora patrickyapi voucher LR12802,
NC_031544.1,Gyrinocheilus pennocki,
NC_039101.1,Proechimys gularis isolate ROM105297,
NC_051965.1,Microphysogobio tungtingensis,
NC_041147.1,Isopachys gyldenstolpei,
NC_012420.1,Chamaeleo calyptratus,
NC_012444.1,Chamaeleo zeylanicus,
NC_023227.1,Paraplagusia bilineata,
NC_024563.1,Anourosorex squamipes,
NC_016688.1,Potamothrissa acutirostris,
NC_064172.1,Saguinus geoffroyi isolate KSTR201,
NC_031152.1,Acheilognathus meridianus,
NC_002780.1,Dogania subplana,
NC_027686.1,Bufo stejnegeri voucher y-d20130012,
NC_026232.1,Gazza minuta,
NC_039820.1,Tanakia latimarginata,
NC_065673.1,Acomys mullah voucher YM134,
NC_066929.1,Enophrys bison,
NC_016686.1,Chiloscyllium punctatum,
NC_024527.1,Hemibarbus medius,
NC_050883.1,Sapajus flavius,
NC_010958.1,Capros aper,
NC_011935.1,Canthidermis maculata,
NC_020631.1,Ovibos moschatus,
NC_042721.1,Chrysichthys nigrodigitatus,
NC_035151.1,Cyrtopodion scabrum,
NC_012103.1,Pecari tajacu,
NC_006931.1,Eubalaena japonica,
NC_033414.1,Lophornis magnificus,
NC_060316.1,Micromys erythrotis,
NC_053831.1,Hydrolagus mirabilis,
NC_036434.1,Manis culionensis isolate 29745,
NC_024087.1,Aquila chrysaetos,
NC_024531.1,Liza haematocheila,
NC_016700.1,Tenualosa toli,
NC_011943.1,Abalistes stellaris,
NC_022840.1,Campylorhynchus zonatus,
NC_023526.1,Paraneetroplus synspilus,
NC_016869.1,Seriola lalandi,
NC_020655.1,Polypterus weeksii voucher NTNU LSP132,
NC_052767.1,Gymnammodytes semisquamatus isolate DM866,
NC_012772.1,Platalea leucorodia,
NC_020429.1,Garrulax canorus,
NC_018821.1,Tribolodon sachalinensis,
NC_027083.1,Lynx lynx,
NC_024948.1,Citharoides macrolepidotus,
NC_011822.1,Lama guanicoe,
NC_039182.1,Ambystoma talpoideum voucher ATAL20180120,
NC_011116.1,Arctodus simus,
NC_015345.1,Lagocephalus laevigatus,
NC_027734.1,Nemipterus virgatus,
NC_037974.1,Amblyraja georgiana voucher efish-1217,
NC_013583.1,Conocara murrayi,
NC_021435.1,Ziphius cavirostris isolate SWFSC ID z0004472,
NC_025499.1,Heliornis fulica,
NC_029228.1,Amblychaeturichthys hexanema,
NC_031363.1,Osphronemus goramy,
NC_033909.1,Otolithes ruber isolate MJ2015081503,
NC_036613.1,Goura victoria voucher MZB:14482,
NC_039890.1,Jynx ruficollis voucher FMNH 390085,
NC_052766.1,Schedophilus medusophagus isolate DM860,
NC_053094.1,Machaerirhynchus nigripectus,
NC_028284.1,Lepomis gibbosus voucher LodgeLab Lgibbosus_1,
NC_033383.1,Eublepharis macularius isolate Emac3,
NC_068864.1,Squalidus nitens,
NC_003095.1,Osteoglossum bicirrhosum,
NC_024267.1,Aegithalos bonvaloti,
NC_024100.1,Cephalopholis sexmaculata voucher F264,
NC_003178.1,Ateleopus japonicus,
NC_035944.1,Etheostoma jessiae,
NC_044104.1,Lutjanus carponotatus,
NC_062277.1,Lutra lutra,
NC_044436.1,Fundulopanchax scheeli,
NC_011569.1,Aulichthys japonicus,
NC_056368.1,Herpestes ichneumon,
NC_013980.1,Hypsiglena ochrorhyncha ochrorhyncha,
NC_005146.1,Pagrus auriga,
NC_026544.1,Tachysurus fulvidraco x Tachysurus vachelli,
NC_015802.1,Ficedula zanthopygia,
NC_018769.1,Glyptothorax fokiensis fokiensis,
NC_031372.1,Retropinna semoni voucher GUB433,
NC_031585.1,Schistura notostigma,
NC_022478.1,Istiophorus albicans,
NC_011388.1,Elassoma zonatum,
NC_030321.1,Pseudobalistes fuscus,
NC_049150.1,Nemipterus hexodon,
NC_053099.1,Pardalotus punctatus,
NC_025917.1,Bubulcus ibis,
NC_070063.1,Vulpes chama isolate ID#15,
NC_004412.1,Salarias fasciatus,
NC_003342.1,Lepidosiren paradoxa,
NC_020002.1,Telmatobius bolivianus,
NC_037399.1,Salmo ischchan isolate BO1,
NC_046418.1,Acrocephalus orientalis,
NC_050020.1,Microsciurus mimulus voucher USNM113311,
NC_054290.1,Semotilus corporalis voucher NEFC F18-008,
NC_056962.1,Arothron stellatus,
NC_058320.1,Ficedula hyperythra,
NC_065489.1,Acentronura tentaculata,
NC_010121.1,Boreogadus saida,
NC_011949.1,Myrmecobius fasciatus,
NC_002783.2,Pterocnemia pennata,
NC_012717.2,Gnathonemus petersii,
NC_005829.1,Rhyncholestes raphanurus,
NC_025268.1,Mus caroli isolate R5231,
NC_028162.1,Otus scops,
NC_057608.1,Thamnaconus septentrionalis,
NC_064505.1,Phylloscopus burkii,
NC_067813.1,Aspidoscelis dixoni isolate H4649,
NC_008648.1,Tinca tinca,
NC_009583.1,Etrumeus teres,
NC_004411.1,Petroscirtes breviceps,
NC_026533.1,Sander lucioperca,
NC_035655.1,Cheirogaleus major isolate MAS6.10,
NC_044494.1,Arnoglossus tenuis,
NC_045917.1,Dryophytes versicolor,
NC_051875.1,Elephantulus revoilii voucher CAS:MAM:32723,
NC_019617.1,Niviventer excelsior,
NC_062887.1,Paramesotriton fuzhongensis,
NC_068808.1,Dipodomys spectabilis isolate CB1,
NC_070363.1,Ochotona argentata,
NC_044429.1,Scriptaphyosemion guignardi strain Sougueta,
NC_044870.1,Xenopus poweri isolate R7946_MHNG2645.073,
NC_067042.1,Epinephelus maculatus,
NC_023266.1,Cetorhinus maximus,
NC_044449.1,Pronothobranchius seymouri strain Accra,
NC_027238.1,Trichogaster microlepis,
NC_043830.1,Poroderma pantherinum,
NC_052817.1,Urocolius indicus,
NC_059713.1,Gobiobotia meridionalis,
NC_004742.1,Amia calva,
NC_027231.1,Tregellasia capito voucher B31376,
NC_028516.1,Creteuchiloglanis gongshanensis,
NC_046934.1,Rousettus lanosus voucher FMNH-151178,
NC_053758.1,Psalidodon fasciatus voucher LAGEEVO - 2096,
NC_025670.1,Leopoldamys edwardsi,
NC_031350.1,Callaeas cinereus,
NC_037186.1,Ochotona erythrotis,
NC_040161.1,Hydrodamalis gigas,
NC_010570.1,Arapaima gigas,
NC_020658.1,Ctenomys sociabilis voucher EAL545,
NC_022487.1,Pteraclis aesticola,
NC_013632.1,Ariosoma shiroanago,
NC_041250.1,Microtus agrestis,
NC_045526.1,Seicercus borealis,
NC_029362.1,Embiotoca jacksoni,
NC_063676.1,Cepola schlegelii,
NC_003159.1,Chauliodus sloani,
NC_031348.1,Moho braccatus,
NC_046416.1,Phylloscopus fuscatus,
NC_066930.1,Parophrys vetulus,
NC_020788.1,Tetracerus quadricornis,
NC_022184.1,Acrossocheilus barbodon,
NC_023129.1,Pleurogrammus azonus,
NC_041303.1,Kogia sima,
NC_037144.1,Rhinogobius rubromaculatus,
NC_034665.1,Bathylychnops exilis,
NC_057104.1,Bandicota bengalensis,
NC_014268.1,Pellona flavipinnis,
NC_031617.1,Barbus eburneensis,
NC_041165.1,Gavia arctica,
NC_041292.1,Chelodina steindachneri isolate Chste_238,
NC_005251.1,Erpetoichthys calabaricus,
NC_020684.1,Capreolus capreolus isolate CYTO,
NC_024881.1,Siganus canaliculatus,
NC_028166.1,Maccullochella ikei isolate EFC001,
NC_044874.1,Xenopus allofraseri isolate R7941_MCZHerpetology_A_148164,
NC_004394.1,Ostichthys japonicus,
NC_024587.1,Plectorhinchus cinctus,
NC_024682.1,Mionectes oleagineus voucher MJM2008,
NC_024857.1,Cirrhitichthys aprinus,
NC_063830.1,Neohylomys hainanensis voucher HN20N051,
NC_041257.1,Psittacara leucophthalmus,
NC_008083.1,Batrachuperus pinchonii,
NC_013633.1,Robinsia catherinae,
NC_020685.1,Cephalophus adersi isolate SUN,
NC_021474.1,Pygoscelis antarcticus,
NC_025611.1,Passer domesticus,
NC_033964.1,Cirrhinus cirrhosus voucher CBM:ZF 11647,
NC_037044.1,Solegnathus hardwickii,
NC_008427.1,Cystophora cristata,
NC_012143.1,Coturnicops exquisitus,
NC_015837.1,Pareutropius debauwi,
NC_021446.1,Anodontostoma chacunda,
NC_028300.1,Catopuma badia isolate PBA,
NC_061383.1,Synodontis petricola voucher P-AA-1422,
NC_050005.1,Darevskia brauneri,
NC_053709.1,Dictyosoma burgeri,
NC_004539.1,Anser albifrons,
NC_006404.1,Ichthyophis bannanicus,
NC_065810.1,Chaetodon modestus,
NC_012414.1,Lissemys punctata,
NC_026718.1,Decapterus macarellus,
NC_026911.1,Poecile palustris voucher CEH14022,
NC_048956.1,Anguis veronensis,
NC_060420.1,Plagiopholis styani,
NC_065989.1,Opsarius bernatziki,
NC_014696.1,Leggadina lakedownensis,
NC_006518.1,Tarsipes rostratus,
NC_062789.1,Hoplodactylus duvaucelii voucher RE.6504,
NC_008219.1,Piliocolobus badius,
NC_020619.1,Tragelaphus imberbis,
NC_024578.1,Discogobio tetrabarbatus,
NC_044672.1,Caracara plancus voucher UF:Ornithology:38951,
NC_057468.1,Leptobrachium liui voucher LSU20191108JLS001,
NC_006523.1,Phascogale tapoatafa,
NC_019581.1,Trachypithecus shortridgei,
NC_025915.1,Pyrgilauda davidiana,
NC_012714.1,Papyrocranus congoensis,
NC_051007.1,Chaetorhynchus papuensis,
NC_053074.1,Furnarius figulus,
NC_063622.1,Chimarrogale leander,
NC_069056.1,Sarcocheilichthys caobangensis,
NC_027733.1,Ephippus orbis,
NC_057527.1,Ardenna carneipes isolate 15-1527,
NC_060767.1,Malacocottus gibber,
NC_007174.1,Pterodroma brevirostris,
NC_029184.1,Selaroides leptolepis,
NC_011951.1,Chaetodermis penicilligerus,
NC_019612.1,Pteromys volans,
NC_060850.1,Omobranchus fasciolatoceps,
NC_012387.1,Mus musculus castaneus,
NC_016663.1,Sundasalanx sp. Chao Phraya,
NC_031864.1,Raphus cucullatus,
NC_056111.1,Myotis ricketti,
NC_057534.1,Lasiopodomys brandtii voucher LB01,
NC_019664.1,Epthianura albifrons,
NC_026127.1,Parabotia banarescui,
NC_036433.1,Manis crassicaudata isolate cr3,
NC_010642.1,Panthera tigris,
NC_057558.1,Microtus thomasi,
NC_014174.1,Brookesia decaryi,
NC_000888.1,Plestiodon egregius,
NC_024949.1,Crossorhombus kobensis,
NC_030209.1,Takydromus amurensis voucher HRB1506080,
NC_037779.1,Makalata macrura,
NC_044442.1,Fundulopanchax gardneri strain Udi mountain,
NC_005358.1,Ochotona princeps,
NC_056807.1,Heteropriacanthus cruentatus,
NC_060627.1,Calidris alba,
NC_066939.1,Oregonichthys crameri,
NC_008679.1,Schistura balteata,
NC_047188.1,Peromyscus eremicus isolate FCR176_MZFC,
NC_017929.1,Ciona intestinalis B CG-2006,
NC_024576.1,Plestiodon elegans,
NC_057125.1,Heniochus chrysostomus,
NC_025591.1,Amolops wuyiensis,
NC_011112.1,Ursus spelaeus,
NC_025954.1,Mobula eregoodootenkee,
