sample,Sample name,Collection date,description,Isolation source,total_reads,preprocessed_reads,SARS2_aligned_reads,percent_preprocessed_reads_aligning_to_SARS2,Sample type,Sampling date,Street No.,Vendor No.,PCR,CT,PCR target,NGS,classification
HJ200060-20200112-1,Env_0575,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.803e+08,1.803e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200062-20200112-1,Env_0577,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.7698e+08,1.7695e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200063-20200112-1,Env_0578,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2259e+08,1.2043e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200065-20200112-1,Env_0580,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0402e+08,7.2963e+07,0,0,,,,,,,,,PCR- / sequencing-
HJ200066-20200112-1,Env_0581,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.4286e+08,1.4147e+08,0,0,,,,,,,,,PCR- / sequencing-
HJ200067-20200112-1,Env_0582,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,7.7126e+07,7.6813e+07,0,0,,,,,,,,,PCR- / sequencing-
HXJC4-1-1,Env_0800,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,5.6799e+08,5.661e+08,0,0,,,,,,,,,PCR- / sequencing-
HXJC4-1-2,Env_0801,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,6.7334e+08,6.7104e+08,0,0,,,,,,,,,PCR- / sequencing-
HXJC4-1-3,Env_0802,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,7.7537e+08,7.7307e+08,0,0,sewerage well in surrounding area,2020/2/9,,,+,36.05,ORF1ab,Yes,PCR+ / sequencing-
HXJMHL-1-2,Env_0768,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,6.6598e+08,6.6376e+08,0,0,,,,,,,,,PCR- / sequencing-
JXRJ-1-1,Env_0770,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,7.9641e+08,7.94e+08,0,0,,,,,,,,,PCR- / sequencing-
Outside-5,Env_0759,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),6.7552e+08,6.7346e+08,0,0,,,,,,,,,PCR- / sequencing-
Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0655e+08,9.0855e+07,5,5.5033e-06,Inner surface of the freezer,2020/1/12,8,25,-,,ORF1ab/N,Yes,PCR- / sequencing+
Q61,Env_0576,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.1321e+08,2.0695e+08,1,4.832e-07,Cart1,2020/1/12,6,29-31-33,-,,ORF1ab/N,Yes,PCR- / sequencing+
Q64,Env_0579,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.2041e+08,1.204e+08,5,4.1527e-06,Cart2,2020/1/12,6,29-31-33,+,+,ORF1ab/N,Yes,PCR+ / sequencing+
Q68,Env_0583,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.1e+08,8.7072e+07,6,6.8909e-06,Ground,2020/1/12,6,29-31-33,+,+,ORF1ab/N,Yes,PCR+ / sequencing+
Q69,Env_0584,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.0678e+08,1.0678e+08,2,1.873e-06,Feather removal machine,2020/1/12,6,29-31-33,+,+,ORF1ab/N,Yes,PCR+ / sequencing+
Q70,Env_0585,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1.4922e+08,1.455e+08,2,1.3745e-06,Iron container in inner room,2020/1/12,6,29-31-33,-,,ORF1ab/N,Yes,PCR- / sequencing+
RLC-3,Env_0868,2020-02-22,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Warehouses related to west wine of HSM,1.2286e+08,1.2225e+08,28,2.2903e-05,Storehouse bag surfaces,2020/2/22,8,25,+,36.18/36.05/32.36,RdRp/N/E,Yes,PCR+ / sequencing+
SJ-D,Env_0862,2020-02-22,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Warehouses related to west wine of HSM,1.5425e+08,1.5345e+08,6,3.9101e-06,Storehouse ground,2020/2/22,8,25,+,39.39/39.25/35.48,RdRp/N/E,No,PCR+ / sequencing+
SJ-L3,Env_0865,2020-02-22,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Warehouses related to west wine of HSM,1.3813e+08,1.3748e+08,0,0,Storehouse wire fence,2020/2/22,8,25,+,41.77/41.62/37.61,RdRp/N/E,No,PCR+ / sequencing-
W-8-25-D1,Env_0806,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.8666e+08,2.8614e+08,0,0,Ground inside the stalls,2020/2/15,8,25,+,36.77,ORF1ab,Yes,PCR+ / sequencing-
W-8-25-D2,Env_0807,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,3.3094e+08,3.3031e+08,0,0,Ground inside the stalls,2020/2/15,8,25,+,33.91,ORF1ab,Yes,PCR+ / sequencing-
W-8-25-L,Env_0808,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,2.8809e+08,2.8757e+08,0,0,Container,2020/2/15,8,25,+,34.58,ORF1ab,Yes,PCR+ / sequencing-
W-8-25-L2,Env_0809,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,3.1168e+08,3.111e+08,0,0,Container,2020/2/15,8,25,+,37.16,ORF1ab,Yes,PCR+ / sequencing-
WS-1-1,Env_0742,2020-02-05,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),3.9338e+08,3.4927e+08,0,0,West sewage well 1,2020/2/5,,,+,36.00,ORF1ab,Yes,PCR+ / sequencing-
WS-2-1,Env_0746,2020-02-05,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),3.5528e+08,3.1357e+08,0,0,West sewage well 1,2020/2/5,,,+,37.30,ORF1ab,Yes,PCR+ / sequencing-
WS-2-3,Env_0748,2020-02-05,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),1.4843e+08,9.1874e+07,0,0,West sewage well 2,2020/2/5,,,+,36.72,ORF1ab,Yes,PCR+ / sequencing-
WS-3-1,Env_0749,2020-02-05,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),1.2561e+08,7.9723e+07,0,0,,,,,,,,,PCR- / sequencing-
WS-4-1,Env_0751,2020-02-05,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),1.2313e+08,7.7922e+07,0,0,,,,,,,,,PCR- / sequencing-
WS-4-2,Env_0752,2020-02-05,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),2.6557e+08,2.6509e+08,0,0,West sewage well 4,2020/2/5,,,+,37.10,ORF1ab,Yes,PCR+ / sequencing-
WWS-1#,Env_0816,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),2.55e+08,2.4374e+08,0,0,West sewage well 1,2020/2/15,,,+,34.44,ORF1ab,Yes,PCR+ / sequencing-
WWS-1#-2,Env_0817,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),4.4463e+08,4.3332e+08,0,0,West sewage well 1,2020/2/15,,,+,33.63,ORF1ab,Yes,PCR+ / sequencing-
WWS-1#-3,Env_0818,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),3.3061e+08,2.9906e+08,0,0,West sewage well 1,2020/2/15,,,+,33.58,ORF1ab,Yes,PCR+ / sequencing-
WWS-2#-2,Env_0820,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),2.1449e+08,2.1343e+08,4,1.8741e-06,West sewage well 2,2020/2/15,,,+,37.44,ORF1ab,Yes,PCR+ / sequencing+
WWS-2#-3,Env_0821,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),3.4341e+08,3.4276e+08,0,0,West sewage well 2,2020/2/15,,,+,36.88,ORF1ab,Yes,PCR+ / sequencing-
YCHC2-1-2,Env_0798,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,8.6805e+08,8.6553e+08,0,0,,,,,,,,,PCR- / sequencing-
YCHC2-1-3,Env_0799,2020-02-09,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,Sewerage well in the surrounding areas,6.6263e+08,6.6072e+08,0,0,,,,,,,,,PCR- / sequencing-
w-6-29-33,Env_0828,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),3.6774e+08,3.6626e+08,0,0,Water drain,2020/2/15,6,29-33,+,37.97,ORF1ab,Yes,PCR+ / sequencing-
w-zong-1,Env_0829,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),4.3316e+08,4.3119e+08,0,0,Water drain,2020/2/15,1,,+,36.54,ORF1ab,Yes,PCR+ / sequencing-
wws-1#-0,Env_0830,2020-02-15,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),5.082e+08,5.0606e+08,0,0,West sewage well 1,2020/2/15,1,,+,33.75,ORF1ab,Yes,PCR+ / sequencing-
A20,Env_0020,,,,,,,,Gloves,2020/1/1,7,15-17,+,32.48,ORF1ab/N,Yes,PCR+ / no sequencing
F13,Env_0313,,,,,,,,Surface of the wall ,2020/1/1,11,15,+,23.85,ORF1ab/N,Yes,PCR+ / no sequencing
F33,Env_0333,,,,,,,,Roller shutter,2020/1/1,2,17,+,34.13,ORF1ab/N,Yes,PCR+ / no sequencing
F54,Env_0354,,,,,,,,Ground,2020/1/1,2,14,+,25.8,ORF1ab/N,Yes,PCR+ / no sequencing
G93,Env_0509,,,,,,,,Sewage,2020/1/1,8,19-21-23,+,33.23,ORF1ab/N,Yes,PCR+ / no sequencing
8-25-D,Env_0717,,,,,,,,Ground inside the stalls,2020/2/3,8,25,+,35.9,ORF1ab,Yes,PCR+ / no sequencing
WS-1-2,Env_0743,,,,,,,,West sewage well 2,2020/2/5,,,+,38.00,ORF1ab,No,PCR+ / no sequencing
WS-1-3,Env_0744,,,,,,,,West sewage well 3,2020/2/5,,,+,34.01,ORF1ab,No,PCR+ / no sequencing
WS-1-4,Env_0745,,,,,,,,West sewage well 4,2020/2/5,,,+,38.00,ORF1ab,No,PCR+ / no sequencing
WS-2-2,Env_0747,,,,,,,,West sewage well 2,2020/2/5,,,+,37.65,ORF1ab,No,PCR+ / no sequencing
WS-3-2,Env_0750,,,,,,,,West sewage well 3,2020/2/5,,,+,37.60,ORF1ab,No,PCR+ / no sequencing
zong-1,Env_0762,,,,,,,,Water drain,2020/2/9,1,,+,34.94,ORF1ab,No,PCR+ / no sequencing
C8,Env_0838,,,,,,,,Wall inside the stalls,2020/2/20,5,stair1-2,+,32.59/-/37.34,RdRp/N/E,No,PCR+ / no sequencing
SJ-CS,Env_0863,,,,,,,,Storehouse weight scale,2020/2/22,8,25,+,40.21/40.1/36.37,RdRp/N/E,No,PCR+ / no sequencing
RLC-4,Env_0867,,,,,,,,Storehouse bag surfaces,2020/2/22,8,25,+,41.71/41.53/37.31,RdRp/N/E,No,PCR+ / no sequencing
WH-17,Env_0601,,,,,,,,floor surface swab collected from Dongxihu Market,2020/1/22,,,+,33.90,ORF1ab,No,PCR+ / no sequencing
YCHC2-1-1,Env_0797,,,,,,,,sewerage well in surrounding area,2020/2/9,,,+,36.42,ORF1ab,No,PCR+ / no sequencing
