Sample name,Sample title,Public description,Collection date,Run accession,BioSample accession,fastqs,Isolation source,Experiment accession,Experiment title,Platform,Library Construction / Experimental Design,Strategy,Source,Selection,Layout,Read length for mate1(bp),Read length for mate 2(bp),download_urls,md5_checksums
Env_0088,A88,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710856,SAMC1152995,"['CRR710856_f1.fq.gz', 'CRR710856_r2.fq.gz']",West Wine of HSM,CRX637108,Env_0088,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710856/CRR710856_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710856/CRR710856_r2.fq.gz']","['ff547f882ff125ca22596f959f147a9e', '87243bb9880575aa68c4eaf8d047edaf']"
Env_0088,A88,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710857,SAMC1152995,"['CRR710857_f1.fq.gz', 'CRR710857_r2.fq.gz']",West Wine of HSM,CRX637108,Env_0088,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710857/CRR710857_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710857/CRR710857_r2.fq.gz']","['6790de2f95b72a0ec587d072602ffe7b', '231a122b45746a0061ec50d69360780a']"
Env_0088,A88,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710858,SAMC1152995,"['CRR710858_f1.fq.gz', 'CRR710858_r2.fq.gz']",West Wine of HSM,CRX637108,Env_0088,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710858/CRR710858_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710858/CRR710858_r2.fq.gz']","['6692fab9d3709e44f2de2092e7b74a71', 'ca4e3f5f19428d08c0cc6fc449dbfa45']"
Env_0088,A88,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710859,SAMC1152995,"['CRR710859_f1.fq.gz', 'CRR710859_r2.fq.gz']",West Wine of HSM,CRX637108,Env_0088,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710859/CRR710859_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710859/CRR710859_r2.fq.gz']","['231ff83a21be3844b2a107a7a80ba86b', 'c32b916fbedf3afe3bd0cc22642a54a4']"
Env_0090,A90,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710860,SAMC1152996,"['CRR710860_f1.fq.gz', 'CRR710860_r2.fq.gz']",West Wine of HSM,CRX637109,Env_0090,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710860/CRR710860_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710860/CRR710860_r2.fq.gz']","['c60b70342a366f0cdbcd0abbe50be41a', 'c549c08d57f4ec6294a3147d4d15be48']"
Env_0090,A90,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710861,SAMC1152996,"['CRR710861_f1.fq.gz', 'CRR710861_r2.fq.gz']",West Wine of HSM,CRX637109,Env_0090,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710861/CRR710861_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710861/CRR710861_r2.fq.gz']","['33c56b5e14d3f95231a3d4ab12c2bbc8', '9057f73b41578deaf39e18c6b532d9b8']"
Env_0090,A90,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710862,SAMC1152996,"['CRR710862_f1.fq.gz', 'CRR710862_r2.fq.gz']",West Wine of HSM,CRX637109,Env_0090,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710862/CRR710862_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710862/CRR710862_r2.fq.gz']","['84f864572e48b2f10a8e64e1075dca2f', '267ec50c89f79c7487986813a0999900']"
Env_0090,A90,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710863,SAMC1152996,"['CRR710863_f1.fq.gz', 'CRR710863_r2.fq.gz']",West Wine of HSM,CRX637109,Env_0090,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710863/CRR710863_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710863/CRR710863_r2.fq.gz']","['df0aa17bf1132003d1bc0007b2dfd303', '08fbb1dd0ca041d8014f3b372450bd63']"
Env_0096,A96,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710864,SAMC1152997,"['CRR710864_f1.fq.gz', 'CRR710864_r2.fq.gz']",West Wine of HSM,CRX637110,Env_0096,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710864/CRR710864_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710864/CRR710864_r2.fq.gz']","['6cfd3926a23c3391b7d62d9883791ae2', 'c7e6aec2054a7fe187d6218ec59f611b']"
Env_0096,A96,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710865,SAMC1152997,"['CRR710865_f1.fq.gz', 'CRR710865_r2.fq.gz']",West Wine of HSM,CRX637110,Env_0096,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710865/CRR710865_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710865/CRR710865_r2.fq.gz']","['2b55ed789046b3ddcb1ad448547d5f31', 'b33974be3235804339f8be148b52007d']"
Env_0096,A96,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710866,SAMC1152997,"['CRR710866_f1.fq.gz', 'CRR710866_r2.fq.gz']",West Wine of HSM,CRX637110,Env_0096,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710866/CRR710866_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710866/CRR710866_r2.fq.gz']","['896dcd5ff3296c8c489ed16855fc3c80', '3fb17e7a9e43903b7ff2703a2a31aa5c']"
Env_0096,A96,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710867,SAMC1152997,"['CRR710867_f1.fq.gz', 'CRR710867_r2.fq.gz']",West Wine of HSM,CRX637110,Env_0096,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710867/CRR710867_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710867/CRR710867_r2.fq.gz']","['b595990e9eb0dbf6cc5561b788cc0abf', '2bb24465aa9d1cd653aac268cbdd759a']"
Env_0138,B17,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710868,SAMC1152998,"['CRR710868_f1.fq.gz', 'CRR710868_r2.fq.gz']",West Wine of HSM,CRX637111,Env_0138,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710868/CRR710868_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710868/CRR710868_r2.fq.gz']","['f82b755034c90403c9c63b245c47aa68', '73ca92a5e5aed3d52514979d3e055572']"
Env_0138,B17,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710869,SAMC1152998,"['CRR710869_f1.fq.gz', 'CRR710869_r2.fq.gz']",West Wine of HSM,CRX637111,Env_0138,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710869/CRR710869_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710869/CRR710869_r2.fq.gz']","['212d772b7fcbf92a22cec24fc9dab0af', 'ee951cbfd15a57bb27abc8829296f38a']"
Env_0138,B17,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710870,SAMC1152998,"['CRR710870_f1.fq.gz', 'CRR710870_r2.fq.gz']",West Wine of HSM,CRX637111,Env_0138,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710870/CRR710870_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710870/CRR710870_r2.fq.gz']","['61a55bfed5e0322267ce3e753875c81f', '564732ddc0e64268e0cab2fbce6bee56']"
Env_0138,B17,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710871,SAMC1152998,"['CRR710871_f1.fq.gz', 'CRR710871_r2.fq.gz']",West Wine of HSM,CRX637111,Env_0138,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710871/CRR710871_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710871/CRR710871_r2.fq.gz']","['f356c2468f440221df9420e6a9482d3f', '15decaffeb2e52f556004e8cc14bde3f']"
Env_0126,B5,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710872,SAMC1152999,"['CRR710872_f1.fq.gz', 'CRR710872_r2.fq.gz']",West Wine of HSM,CRX637112,Env_0126,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710872/CRR710872_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710872/CRR710872_r2.fq.gz']","['bcf7519cd437640a6a85c6ca9ae0f2ad', 'c2d9eae61e735074824f86ffe3bcc8f0']"
Env_0126,B5,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710873,SAMC1152999,"['CRR710873_f1.fq.gz', 'CRR710873_r2.fq.gz']",West Wine of HSM,CRX637112,Env_0126,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710873/CRR710873_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710873/CRR710873_r2.fq.gz']","['cb1b6089d8acbbf22f3609d56abec19f', 'bd731bbe56b2a2120646956930da2305']"
Env_0126,B5,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710874,SAMC1152999,"['CRR710874_f1.fq.gz', 'CRR710874_r2.fq.gz']",West Wine of HSM,CRX637112,Env_0126,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710874/CRR710874_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710874/CRR710874_r2.fq.gz']","['3d7590f98ed8f9d0238ff6c1e39d097e', '2431e27166c2f13829893dd307cbdf36']"
Env_0126,B5,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710875,SAMC1152999,"['CRR710875_f1.fq.gz', 'CRR710875_r2.fq.gz']",West Wine of HSM,CRX637112,Env_0126,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710875/CRR710875_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710875/CRR710875_r2.fq.gz']","['561bc3f43ebc14657e30e2674ce80061', '69ca545b4bcd5e810c483998eee3d853']"
Env_0213,D32,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710876,SAMC1153000,"['CRR710876_f1.fq.gz', 'CRR710876_r2.fq.gz']",West Wine of HSM,CRX637113,Env_0213,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710876/CRR710876_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710876/CRR710876_r2.fq.gz']","['d93d62919e13e533ac120b863b250ed7', '6f48f21970d95d88422924367e2b2939']"
Env_0213,D32,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710877,SAMC1153000,"['CRR710877_f1.fq.gz', 'CRR710877_r2.fq.gz']",West Wine of HSM,CRX637113,Env_0213,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710877/CRR710877_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710877/CRR710877_r2.fq.gz']","['f6c1ff121eb79bd759d6daa84d86e790', 'fc60f7ed99d3208d623ca1de66e4a62e']"
Env_0213,D32,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710878,SAMC1153000,"['CRR710878_f1.fq.gz', 'CRR710878_r2.fq.gz']",West Wine of HSM,CRX637113,Env_0213,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710878/CRR710878_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710878/CRR710878_r2.fq.gz']","['f93cf55bca1256c6024c647da745faef', 'c975a19638684e28418ddcc2af61fdc9']"
Env_0213,D32,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710879,SAMC1153000,"['CRR710879_f1.fq.gz', 'CRR710879_r2.fq.gz']",West Wine of HSM,CRX637113,Env_0213,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710879/CRR710879_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710879/CRR710879_r2.fq.gz']","['7b30f82472a91519f995d98514d185ed', '1702f1b5042813e5f4505ad7639f0a96']"
Env_0262,E48,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710880,SAMC1153001,"['CRR710880_f1.fq.gz', 'CRR710880_r2.fq.gz']",East Wine of HSM,CRX637114,Env_0262,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710880/CRR710880_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710880/CRR710880_r2.fq.gz']","['af25666798aeaa8af964bcdacf384ea6', '0fedd88df168f4a11351cc2956a06e8a']"
Env_0262,E48,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710881,SAMC1153001,"['CRR710881_f1.fq.gz', 'CRR710881_r2.fq.gz']",East Wine of HSM,CRX637114,Env_0262,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710881/CRR710881_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710881/CRR710881_r2.fq.gz']","['3bb3b2584cd4ca02f42a7fae83cece5b', '976aecbe3cbcfb76f81de71a135ed02b']"
Env_0262,E48,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710882,SAMC1153001,"['CRR710882_f1.fq.gz', 'CRR710882_r2.fq.gz']",East Wine of HSM,CRX637114,Env_0262,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710882/CRR710882_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710882/CRR710882_r2.fq.gz']","['7139af55e335137429ba53a78fd4311c', '48f893021d0719c654cefbdc735bff42']"
Env_0262,E48,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710883,SAMC1153001,"['CRR710883_f1.fq.gz', 'CRR710883_r2.fq.gz']",East Wine of HSM,CRX637114,Env_0262,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710883/CRR710883_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710883/CRR710883_r2.fq.gz']","['1e34d405e549898be32cd42f398b5e8b', '5aa14908c2168226af2fab9818086777']"
Env_0275,E61,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710884,SAMC1153002,"['CRR710884_f1.fq.gz', 'CRR710884_r2.fq.gz']",East Wine of HSM,CRX637115,Env_0275,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710884/CRR710884_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710884/CRR710884_r2.fq.gz']","['1211ee1ced6483b834f0dde9473fda18', 'a23b3e4c6719acf063fb42d6f0c4577b']"
Env_0275,E61,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710885,SAMC1153002,"['CRR710885_f1.fq.gz', 'CRR710885_r2.fq.gz']",East Wine of HSM,CRX637115,Env_0275,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710885/CRR710885_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710885/CRR710885_r2.fq.gz']","['c2f1d83297d36f0b61801538c80872b7', 'a4ccf5722fad3ab11cc1b8c46c56e9e6']"
Env_0275,E61,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710886,SAMC1153002,"['CRR710886_f1.fq.gz', 'CRR710886_r2.fq.gz']",East Wine of HSM,CRX637115,Env_0275,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710886/CRR710886_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710886/CRR710886_r2.fq.gz']","['aa0e4285c3a02e7f33c4b598c122c661', '2747e8125b54dd4dcdbbf95ae027c65f']"
Env_0275,E61,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710887,SAMC1153002,"['CRR710887_f1.fq.gz', 'CRR710887_r2.fq.gz']",East Wine of HSM,CRX637115,Env_0275,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710887/CRR710887_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710887/CRR710887_r2.fq.gz']","['a8c4089a39a25b65ec320b463468c842', '9708bca460d1fa413850dfa82301df80']"
Env_0221,E7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710888,SAMC1153003,"['CRR710888_f1.fq.gz', 'CRR710888_r2.fq.gz']",West Wine of HSM,CRX637116,Env_0221,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710888/CRR710888_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710888/CRR710888_r2.fq.gz']","['301d425851b06f035c5d361f02985e36', '4fd1a140dab54981990597230adb21a0']"
Env_0221,E7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710889,SAMC1153003,"['CRR710889_f1.fq.gz', 'CRR710889_r2.fq.gz']",West Wine of HSM,CRX637116,Env_0221,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710889/CRR710889_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710889/CRR710889_r2.fq.gz']","['ce32849599cb456ed17d94a72e6c202a', 'b9ec67a9639901db3965e4fbee176db6']"
Env_0221,E7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710890,SAMC1153003,"['CRR710890_f1.fq.gz', 'CRR710890_r2.fq.gz']",West Wine of HSM,CRX637116,Env_0221,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710890/CRR710890_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710890/CRR710890_r2.fq.gz']","['f8453537e46475a5e934498ebdee1ad8', 'b49ddb5e7578d66407f12e9c5d4e5377']"
Env_0221,E7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710891,SAMC1153003,"['CRR710891_f1.fq.gz', 'CRR710891_r2.fq.gz']",West Wine of HSM,CRX637116,Env_0221,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710891/CRR710891_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710891/CRR710891_r2.fq.gz']","['14fbac58545ae3c2a3a11443e7f0d8a0', 'ed4eae2eb75914c9ec10f01228d3392a']"
Env_0400,F100,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710892,SAMC1153004,"['CRR710892_f1.fq.gz', 'CRR710892_r2.fq.gz']",West Wine of HSM,CRX637117,Env_0400,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710892/CRR710892_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710892/CRR710892_r2.fq.gz']","['1f4aff360aaa8e29c246c88234cb590f', 'b425d1e1b2e06d40634ed0de58ac15c0']"
Env_0400,F100,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710893,SAMC1153004,"['CRR710893_f1.fq.gz', 'CRR710893_r2.fq.gz']",West Wine of HSM,CRX637117,Env_0400,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710893/CRR710893_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710893/CRR710893_r2.fq.gz']","['bbdefedb1259896b0217a6b0947f0bd8', 'cac6febfa98f9f36489945e0d4fe4f24']"
Env_0400,F100,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710894,SAMC1153004,"['CRR710894_f1.fq.gz', 'CRR710894_r2.fq.gz']",West Wine of HSM,CRX637117,Env_0400,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710894/CRR710894_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710894/CRR710894_r2.fq.gz']","['ccd509548cc06f8e25dff2a5098b5603', '390d6766fd95f032008fc99ddcbf3a34']"
Env_0400,F100,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-01,CRR710895,SAMC1153004,"['CRR710895_f1.fq.gz', 'CRR710895_r2.fq.gz']",West Wine of HSM,CRX637117,Env_0400,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710895/CRR710895_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710895/CRR710895_r2.fq.gz']","['334c6e42498ccabd28302c81d22212c1', 'a84877cafdf7252802b29e752847801a']"
Env_0313,F13,RNA sequencing of total nucleic acids from environmental swabs for metagenomic analysis and viral whole-genome assembly (Env_0313_seq02),2020-01-01,CRR710896,SAMC1153005,"['CRR710896_f1.fq.gz', 'CRR710896_r2.fq.gz']",West Wine of HSM,CRX637118,Env_0313/Env_0313_seq02,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomic analysis and viral whole-genome assembly (Env_0313_seq02),RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710896/CRR710896_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710896/CRR710896_r2.fq.gz']","['1c28100da0b2fcd5361b7d536951e1db', '52c66f0fcbf0ffbd8fc1b7561a8834d3']"
